date,Attribute,Value
2020-04-01,FTSE100,75695.98
2020-04-01,SP500,100362.29
2020-04-01,MSCI World,89072.13
2020-04-01,Nareit All REITS,93898.89
2020-04-01,UK Home Price Index,103372.84
2020-05-01,Merton,135154.7
2020-05-01,FTSE100,78755.47
2020-05-01,SP500,113092.66
2020-05-01,MSCI World,98499.86
2020-05-01,Nareit All REITS,102405.34
2020-05-01,UK Home Price Index,102321.72
2020-06-01,Merton,137053.9
2020-06-01,FTSE100,81096.16
2020-06-01,SP500,118213.69
2020-06-01,MSCI World,102587.49
2020-06-01,Nareit All REITS,104154.9
2020-06-01,UK Home Price Index,102850.39
2020-07-01,Merton,138980.34
2020-07-01,FTSE100,82339.17
2020-07-01,SP500,120387.46
2020-07-01,MSCI World,105696.51
2020-07-01,Nareit All REITS,107005.74
2020-07-01,UK Home Price Index,104269.81
2020-08-01,Merton,140934.4
2020-08-01,FTSE100,78709.42
2020-08-01,SP500,127020.96
2020-08-01,MSCI World,111129.23
2020-08-01,Nareit All REITS,111042.53
2020-08-01,UK Home Price Index,105151.23
2020-09-01,Merton,142916.49
2020-09-01,FTSE100,79587.7
2020-09-01,SP500,135920.64
2020-09-01,MSCI World,117768.11
2020-09-01,Nareit All REITS,111405.04
2020-09-01,UK Home Price Index,106177.92
2020-10-01,Merton,144927.02
2020-10-01,FTSE100,78286.9
2020-10-01,SP500,130588.76
2020-10-01,MSCI World,113799.28
2020-10-01,Nareit All REITS,108568.44
2020-10-01,UK Home Price Index,107307.68
2020-11-01,Merton,146966.39
2020-11-01,FTSE100,74432.28
2020-11-01,SP500,126975.92
2020-11-01,MSCI World,110950.02
2020-11-01,Nareit All REITS,105124.36
2020-11-01,UK Home Price Index,108211.31
2020-12-01,Merton,149035.03
2020-12-01,FTSE100,83626.36
2020-12-01,SP500,140631.63
2020-12-01,MSCI World,124495.59
2020-12-01,Nareit All REITS,115352.55
2020-12-01,UK Home Price Index,109317.52
2021-01-01,Merton,149746.93
2021-01-01,FTSE100,86219.82
2021-01-01,SP500,145852.07
2021-01-01,MSCI World,130133.7
2021-01-01,Nareit All REITS,118531.72
2021-01-01,UK Home Price Index,110169.62
2021-02-01,Merton,150460.45
2021-02-01,FTSE100,85511.7
2021-02-01,SP500,144227.77
2021-02-01,MSCI World,129457.13
2021-02-01,Nareit All REITS,118339.43
2021-02-01,UK Home Price Index,110927.98
2021-03-01,Merton,151602.85
2021-03-01,FTSE100,86525.57
2021-03-01,SP500,147990.88
2021-03-01,MSCI World,132324.51
2021-03-01,Nareit All REITS,121957.18
2021-03-01,UK Home Price Index,110881.77
2021-04-01,Merton,152757.85
2021-04-01,FTSE100,89597.74
2021-04-01,SP500,154271.41
2021-04-01,MSCI World,135574.48
2021-04-01,Nareit All REITS,128585.45
2021-04-01,UK Home Price Index,112623.28
2021-05-01,Merton,151669.95
2021-05-01,FTSE100,93016.62
2021-05-01,SP500,162359.14
2021-05-01,MSCI World,141321.33
2021-05-01,Nareit All REITS,138729.72
2021-05-01,UK Home Price Index,111158.99
2021-06-01,Merton,150580.03
2021-06-01,FTSE100,93721.27
2021-06-01,SP500,163249.92
2021-06-01,MSCI World,143258.43
2021-06-01,Nareit All REITS,139812.93
2021-06-01,UK Home Price Index,111636.58
2021-07-01,Merton,152700.65
2021-07-01,FTSE100,93919.59
2021-07-01,SP500,166876.35
2021-07-01,MSCI World,144974.02
2021-07-01,Nareit All REITS,143644.63
2021-07-01,UK Home Price Index,118029.96
2021-08-01,Merton,154851.71
2021-08-01,FTSE100,93850.59
2021-08-01,SP500,170672.48
2021-08-01,MSCI World,145827.8
2021-08-01,Nareit All REITS,149406.96
2021-08-01,UK Home Price Index,112381.16
2021-09-01,Merton,157033.65
2021-09-01,FTSE100,95017
2021-09-01,SP500,175620.33
2021-09-01,MSCI World,149263.02
2021-09-01,Nareit All REITS,152607.54
2021-09-01,UK Home Price Index,115763.78
2021-10-01,Merton,160482
2021-10-01,FTSE100,94572.86
2021-10-01,SP500,167266.22
2021-10-01,MSCI World,142867.79
2021-10-01,Nareit All REITS,143864.62
2021-10-01,UK Home Price Index,119697.72
2021-11-01,Merton,163994.32
2021-11-01,FTSE100,96590.05
2021-11-01,SP500,178831.65
2021-11-01,MSCI World,150060.41
2021-11-01,Nareit All REITS,153817.88
2021-11-01,UK Home Price Index,117706.54
2021-12-01,Merton,167571.65
2021-12-01,FTSE100,94212.93
2021-12-01,SP500,177341.32
2021-12-01,MSCI World,146294.95
2021-12-01,Nareit All REITS,151856.69
2021-12-01,UK Home Price Index,119624.42
2022-01-01,Merton,171077.12
2022-01-01,FTSE100,98551.46
2022-01-01,SP500,185075.68
2022-01-01,MSCI World,151993.48
2022-01-01,Nareit All REITS,165799.48
2022-01-01,UK Home Price Index,120082.46
2022-02-01,Merton,174645.29
2022-02-01,FTSE100,99616.85
2022-02-01,SP500,175343.46
2022-02-01,MSCI World,144452.5
2022-02-01,Nareit All REITS,153012.68
2022-02-01,UK Home Price Index,121209.55
2022-03-01,Merton,178042.26
2022-03-01,FTSE100,99535.17
2022-03-01,SP500,169844.6
2022-03-01,MSCI World,140554.15
2022-03-01,Nareit All REITS,147019.77
2022-03-01,UK Home Price Index,121681.36
2022-04-01,Merton,181259.77
2022-04-01,FTSE100,100301.61
2022-04-01,SP500,175920.49
2022-04-01,MSCI World,143280.58
2022-04-01,Nareit All REITS,157110.29
2022-04-01,UK Home Price Index,122544.56
2022-05-01,Merton,184529.35
2022-05-01,FTSE100,100686.9
2022-05-01,SP500,160447.1
2022-05-01,MSCI World,131623.78
2022-05-01,Nareit All REITS,150784.12
2022-05-01,UK Home Price Index,124112.81
2022-06-01,Merton,187610.85
2022-06-01,FTSE100,101529.14
2022-06-01,SP500,160455.64
2022-06-01,MSCI World,131450.61
2022-06-01,Nareit All REITS,144265.95
2022-06-01,UK Home Price Index,125612.64
2022-07-01,Merton,190497.49
2022-07-01,FTSE100,95678.68
2022-07-01,SP500,146990.21
2022-07-01,MSCI World,120166.32
2022-07-01,Nareit All REITS,133776.58
2022-07-01,UK Home Price Index,127252.86
2022-08-01,Merton,193427.2
2022-08-01,FTSE100,99070.48
2022-08-01,SP500,160383.42
2022-08-01,MSCI World,128412.07
2022-08-01,Nareit All REITS,145472.73
2022-08-01,UK Home Price Index,129777.16
2022-09-01,Merton,195910.087
2022-09-01,FTSE100,97211.69399
2022-09-01,SP500,153576.7262
2022-09-01,MSCI World,123456.5664
2022-09-01,Nareit All REITS,136864.77
2022-10-01,Merton,198050.31
2022-10-01,FTSE100,92002.35417
2022-10-01,SP500,139233.3201
2022-10-01,MSCI World,111427.2482
2022-10-01,Nareit All REITS,118817.21
